$edp	Tairseach Eorpach na bhFoclóirí
$home	Baile
$find	Aimsigh foclóir
$blurb	Cuireann [Líonra Eorpach na Ríomhfhoclóireachta] fáilte romhat chuig Tairseach Eorpach na bhFoclóirí, suíomh a threoróidh thú chuig rogha is togha foclóirí sna teangacha Eorpacha. [[Tuilleadh eolais...]]
$moment	Foclóir na huaire
$filter	Scagaire
$objLang	SPRIOCTHEANGA
$objLangBlurb	An teanga a ndéanann an foclóir cur síos uirthi; an teanga is ábhar don fhoclóir.
$metaLang	MEITEATHEANGA
$metaLangBlurb	An teanga ina dtugann an foclóir míniú agus treoir. Más ionann an mheiteatheanga agus an sprioctheanga, is foclóir aonteangach é. Murab ionann, is foclóir dátheangach é.
$dicType	SEÁNRA
$dicTypeBlurb	Cén cineál foclóra atá uait?
$anyLang	teanga ar bith
$anyDicType	seánra ar bith
$search	Cuardaigh
$notyet	Teangacha fós gan foclóir
$signlangs	Teangacha comharthaíochta
$toomany	Aimsíodh breis is 50 foclóir a fhreagraíonn do do chuardach. Níl ar taispeáint anseo ach na chéad 50 ceann.
$nojoy	Ár leithscéal, níl aon fhoclóirí againn a fhreagraíonn do do chuardach.
$anglo	Ár leithscéal, níl an t-ábhar seo ar fáil ach i mBéarla.
$about-more	Féach freisin
$top	Barr
$toc	Ar an suíomh seo
$foot1	Togra de chuid [Líonra Eorpach na Ríomhfhoclóireachta] é Tairseach Eorpach na bhFoclóirí.
$foot2	Faigheann [COST] maoiniú ó chreatchlár an Aontais Eorpaigh [[Fís 2020]].
$foot3	Foclóirí atá liostaithe ar an suíomh seo, tá fáilte rompu ár [lipéad faofa a thaispeáint]
$mbm	Suíomh cruthaithe ag
$ivdnt	Á óstáil ag
$shots	Seatanna na scáileán:
$icons	Íocóin:
$login	Eagarthóireacht
$moreDicts	Tuilleadh foclóirí sa teanga seo
$loginRequired	CLÁRÚCHÁN DE DHÍTH
$searchIn	CUARDAIGH IN
$tsRequired	Iarrfaidh an suíomh seo ort glacadh lena chuid téarmaí agus coinníollacha.
$language	teanga
$searchbox	Cuardaigh in iliomad foclóirí
$included	Foclóirí atá istigh

$about1	Cuid thábhachtach den saol is ea an foclóir sa domhan ilteangach ina maireann muid inniu. Tá Tairseach Eorpach na bhFoclóirí anseo chun tú a threorú chuig foclóirí maithe, iontaofa de theangacha Eorpacha ar líne. Na foclóirí go léir atá liostaithe ar an suíomh seo, saineolaithe de chuid [Líonra Eorpach na Ríomhfhoclóireachta] a roghnaigh iad de réir [[critéar soiléir]].
$prop1	An bhfuil foclóir ar eolas agat a bheadh oiriúnach do Thairseach Eorpach na bhFoclóirí? [Abair linn!]
$prop2	Déanfaidh duine dár n-eagarthóirí do mholadh a mheas agus, má tá an foclóir oiriúnach, cuirfear le Tairseach Eorpach na bhFoclóirí é. Beidh fáilte roimh úinéirí an fhoclóra [lipéad faofa] a chur ar a suíomh féin ansin.
$error1	Earráid
$error2	Ár leithscéal, tá earráid tar éis tarlú. Bain triail eile as i gceann tamaill. Má bhíonn an fhadhb fós ann, cuir scéala chuig [riarthóir an tsuímh], le do thoil.
$thanks	Go raibh maith agat
$backhome	Ar ais chuig an leathanach baile
$select	roghnaigh
$prop-name	AIM AN FHOCLÓRA
$prop-name-error	Ní cheadaítear an t-ainm a bheith bán.
$prop-url	URL AN FHOCLÓRA
$prop-url-error	Ní cheadaítear an URL a bheith bán, agus caithfidh "http://" nó "https://" a bheith ag an tús.
$objLang-error	Caithfidh tú teanga a roghnú.
$prop-email	DO SHEOLADH RÍOMHPHOIST
$prop-email-legend	Rachaidh muid i dteagmháil leat má theastaíonn tuilleadh eolais uainn. Coimeádfar do sheoladh faoi rún.
$prop-email-error	Ní cheadaítear an seoladh a bheith bán, agus caithfidh seoladh bailí ríomhphoist a bheith ann.
$prop-comments	AON EOLAS EILE (ROGHNACH)
$prop-crit	Sula seolfaidh tú é, déan cinnte, le do thoil, go gcomhlíonann an foclóir na [critéir chun foclóir a liostú].
