$edp	Európai Szótárportál
$home	Főoldal
$find	Válasszon egy szótárt!
$blurb	Az Európai Szótárportál az európai nyelvek minőségi online szótárainak gyűjtőhelye, melyet a [European Network of e-Lexicography] szakértői gondoznak. [[További információ...]]
$moment	A nap szótára
$filter	Szűrő
$objLang	TÁRGYNYELV
$objLangBlurb	A szótár által leírt nyelv.
$metaLang	METANYELV
$metaLangBlurb	A szótárban található definíciók és magyarázatok nyelve. Ha megegyezik a tárgynyelvvel, akkor egynyelvű szótárról van szó, ellenkező esetben kétnyelvű szótárról.
$dicType	TÍPUS, MŰFAJ
$dicTypeBlurb	Milyen típusú szótárat keres?
$anyLang	bármilyen nyelven
$anyDicType	bármilyen típusú, műfajú
$search	Keresés
$notyet	Olyan nyelvek, amelyeknek nincs még szótáruk
$signlangs	Jelnyelvek
$toomany	A megadott keresési feltételeknek több mint 50 szótár felel meg. A lista csak az első 50 találatot mutatja.
$nojoy	Sajnos nincs olyan szótár, ami megfelel a keresési feltételeknek.
$anglo	Sajnos a kért tartalom csak angol nyelven érhető el.
$about-more	Lásd még
$top	Vissza az oldal tetejére
$toc	A honlap tartalma
$foot1	Az Európai Szótárportál a [European Network of e-Lexicography] kezdeményezésére jött létre.
$foot2	A [COST]-ot támogatja a [[Horizon 2020]] EU Keretprogram.
$foot3	A szótára megtalálható az Európai Szótárportálon? Használja [minősítő pecsétünket]
$mbm	A honlapot létrehozta 
$ivdnt	A honlapot üzemelteti
$shots	A képernyőképek forrása
$icons	Az ikonok forrása
$login	Belépés kurátoroknak
$moreDicts	Még több szótár ezen a nyelven
$loginRequired	BE KELL JELENTKEZNIE
$searchIn	KERESÉS ITT 
$tsRequired	Kérjük, hogy első látogatásakor fogadja el a használati feltételeket!
$language	nyelv
$searchbox	Keresés több szótárban
$included	Elérhető szótárak
$about1	A szótárak fontos részét képezik nemzetközi, soknyelvű világunknak. Az Európai Szótárportál segít önnek abban, hogy az európai nyelvek minőségi, megbízható online szótáraiban keressen,  attól függetlenül, hogy ön kutató, fordító vagy nyelvtanár, vagy egyszerűen csak olyan valaki, aki lelkesedik a nyelvekért. A portálon megtalálható szótárak mindegyikét  a [European Network of e-Lexicography] tapasztalt lexikográfusai válogatták be a jól meghatározott [[bekerülési feltételek]] alapján. 
$prop1	Tud olyan szótárról, aminek itt kellene lennie? [Írja meg nekünk!]
$prop2	Az ön által javasolt és beküldött szótárat szakértőink egyike átnézi, és ha az megfelel a szótárportál által megadott feltételeknek, felkerül a portálra. A honlap tulajdonosa jogosult lesz [minősítő pecsétünk] használatára a weboldalán.
$error1	Hiba
$error2	Sajnáljuk, úgy tűnik, hogy valami hiba történt. Ha a hiba tartósan fennáll, akkor kérjük, jelentse azt [e-mailben a honlap üzemeltetőjének].
$thanks	Köszönjük
$backhome	Vissza a főoldalra
$select	válasszon 
$prop-name	A SZÓTÁR NEVE
$prop-name-error	A "név" mezőt kötelező kitölteni.
$prop-url	A SZÓTÁR WEBCÍME
$prop-url-error	A "webcím" mezőt kötelező kitölteni, és "http://" vagy "https://"-vel kell kezdődnie.
$objLang-error	Válasszon egy nyelvet!
$prop-email	AZ ÖN E-MAIL CÍME
