$edp	Eurooppalainen sanakirjaportaali
$home	Etusivu
$find	Etsi sanakirja
$blurb	Leksikografian asiantuntijoiden koostama [Eurooppalainen sanakirjaportaali] auttaa löytämään hyviä eurooppalaisten kielten verkkosanakirjoja. [[Lisää …]]
$moment	Esittelyssä oleva sanakirja
$filter	Suodatin
$objLang	KOHDEKIELI
$objLangBlurb	Kieli, jota sanakirja kuvaa.
$metaLang	KUVAUSKIELI
$metaLangBlurb	Kieli, jolla sanakirjan määritelmät ja selitykset on kirjoitettu. Jos tämä kieli on sama kuin kohdekieli, sanakirja on yksikielinen. Jos tämä kieli on eri kuin kohdekieli, sanakirja on kaksikielinen.
$dicType	SANAKIRJAN TYYPPI
$dicTypeBlurb	Millaista sanakirjaa etsitään?
$anyLang	kaikenkielisiä
$anyDicType	kaikentyyppisiä
$search	Haku
$notyet	Kielet joista toistaiseksi ei ole sanakirjaa
$signlangs	viittomakielet
$toomany	Hakusi tuloksena on yli 50 sanakirjaa. Listassa on näistä 50 ensimmäistä.
$nojoy	Portaalissa ei ole hakuasi vastaavaa sanakirjaa.
$anglo	Valitettvasti tämä tieto on saatavilla vain englanniksi.
$about-more	Katso myös
$top	Ylös
$toc	Tällä sivustolla
$foot1	Eurooppalainen sanakirjaportaali on syntynyt [European Network of e-Lexicography] &#8209;hankkeen aloitteesta. 
$foot2	[COST] saa tukea EU:n puiteohjelmasta [[Horizon 2020]].
$foot3	Onko sanakirjasi Eurooppalaisessa sanakirjaportaalissa? Jos on, lisää sanakirjaan [hyväksymisleimamme]
$mbm	Sivuston tuottaja:
$ivdnt	Sivuston ylläpitäjä:
$shots	Ruutukaappaukset:
$icons	Ikonit:
$login	Sisältövastaavan kirjautuminen
$moreDicts	Lisää tämän kielen sanakirjoja
$loginRequired	VAATII KIRJAUTUMISEN
$searchIn	HAKU SANAKIRJASTA
$tsRequired	Kun käyt sivustolla ensimmäisen kerran, sinua pyydetään hyväksymään sivuston käyttöehdot.
$language	kieli
$searchbox	Haku useasta sanakirjasta
$included	Hakuun valitut sanakirjat
$about1	Sanakirjat muodostavat tärkeän osan nykyistä kansainvälistä ja monikielistä maailmaa. Eurooppalainen sanakirjaportaali on sivusto, josta voi etsiä laadukkaita eurooppalaisten kielten verkkosanakirjoja. Portaali palvelee niin tutkijoita, kääntäjiä, kieltenopettajia kuin kielten harrastajiakin. Portaalin sanakirjat on valinnut sanakirjantoimittajista koostuva [European Network of e-Lexicography] &#8209;hankkeen asiantuntijaryhmä, joka noudattaa selvästi määriteltyjä [[valintakriteereitä]].
$prop1	Tiedätkö  sanakirjan, jonka pitäisi olla mukana portaalissa? [Kerro meille siitä!]
$prop2	Portaalin sisältövastavat tarkistavat lähetetyt ehdotukset. Jos ehdottamasi sanakirja täyttää laatuvaatimukset, se sisällytetään Eurooppalaiseen sanakirjaportaaliin. Ilmoitamme siinä tapauksessa sanakirjasivuston omistajalle, että sivustolle voi lisätä [hyväksymisleimamme].
$error1	Virhe
$error2	On valitettavasti sattunut virhe. Jos ongelma toistuu, [ilmoita siitä verkkosivun ylläpitäjälle].
$thanks	Kiitos!
$backhome	Takaisin etusivulle
$select	valitse
$prop-name	SANAKIRJAN NIMI
$prop-name-error	Nimikenttä ei saa jäädä tyhjäksi.
