$edp	Ευρωπαϊκή Πύλη Λεξικών
$home	Αρχική Σελίδα
$find	Εντοπισμός λεξικού
$blurb	Η Ευρωπαϊκή Πύλη Λεξικών, την επιμέλεια της οποίας έχουν αναλάβει ειδικοί του [Ευρωπαϊκού Δικτύου Ηλεκτρονικής Λεξικογραφίας], αποτελεί τον οδηγό σας για την πρόσβαση σε αναγνωρισμένα δια-δικτυακά λεξικά ευρωπαϊκών γλωσσών. [[Περισσότερες πληροφορίες...]]
$moment	Λεξικό της στιγμής
$filter	Φίλτρο
$objLang	ΓΛΩΣΣΑ ΛΕΞΙΚΟΥ
$objLangBlurb	Η γλώσσα την οποία περιγράφει το λεξικό; η γλώσσα για την οποία προορίζεται το λεξικό.
$metaLang	ΜΕΤΑΓΛΩΣΣΑ
$metaLangBlurb	Η γλώσσα στην οποία δίνονται οι ορισμοί και επεξηγήσεις του λεξικού. Εφόσον συμπίπτει με τη γλώσσα του λεξικού, τότε το λεξικό είναι μονόγλωσσο. Αν διαφέρει, τότε το λεξικό είναι δίγλωσσο.
$dicType	ΕΙΔΟΣ ΛΕΞΙΚΟΥ
$dicTypeBlurb	Τι είδους λεξικό ψάχνετε;
$anyLang	οποιαδήποτε γλώσσα
$anyDicType	οποιδήποτε είδος
$search	Αναζήτηση
$notyet	Γλώσσες για τις οποίες δεν υπάρχουν ακόμα λεξικά
$signlangs	Νοηματικές Γλώσσες
$toomany	Περισσότερα από 50 λεξικά ταιριάζουν με τα κριτήρια που θέσατε. Εδώ παρουσιάζονται μόνο τα 50 πρώτα.
$nojoy	Δυστυχώς, κανένα διαθέσιμο λεξικό δεν ταιριάζει με τα κριτήρια που θέσατε.
$anglo	Δυστυχώς, το περιεχόμενο είναι διαθέσιμο μόνο στην Αγγλική γλώσσα.
$about-more	Δείτε επίσης
$top	Αρχή
$toc	Σε αυτόν τον ιστότοπο
$foot1	Η Ευρωπαϊκή Πύλη Λεξικών, αποτελεί πρωτοβουλία του [Ευρωπαϊκού Δικτύου Ηλεκτρονικής Λεξικογραφίας]
$foot2	Η πρωτοβουλία [COST] υποστηρίζεται από το Πλαίσιο Πρόγραμμα της ΕΕ [[Ορίζοντας 2020]].
$foot3	Είναι το λεξικό σας στην Ευρωπαϊκή Πύλη Λεξικών; Εμφάνιση της [σφραγίδας έγκρισης]
$mbm	Ο ιστότοπος κατασκευάστηκε από
$ivdnt	Φιλοξενείται από
$shots	Τα στιγμιότυπα οθόνης παραχωρήθηκαν από
$icons	Οι εικόνες παραχωρήθηκαν από
$login	Είσοδος επιμελητή
$moreDicts	Περισσότερα λεξικά στη γλώσσα αυτή.
$loginRequired	ΑΠΑΙΤΕΙΤΑΙ ΕΙΣΟΔΟΣ
$searchIn	ΑΝΑΖΗΤΗΣΗ ΣΕ
$tsRequired	Αυτή η ιστοσελίδα θα σας ζητήσει να αποδεχτείτε στην πρώτη σας επίσκεψη τους όρους και προϋποθέσεις.
$language	γλώσσα
$searchbox	Αναζήτηση σε πολλά λεξικά
$included	Λεξικά που περιλαμβάνονται
$about1	Τα λεξικά αποτελούν σημαντικό κομμάτι της ζωής μας στον σύγχρονο διεθνοποιημένο, πολυγλωσσικό κόσμο. Η Ευρωπαϊκή Πύλη Λεξικών βρίσκεται εδώ προκειμένου να σας βοηθήσει να εντοπίσετε αξιόπιστα διαδικτυακά λεξικά των ευρωπαϊκών γλωσσών, είτε είστε ακαδημαϊκός, μεταφραστής, καθηγητής γλωσσών ή απλά σας ενδιαφέρει η γλώσσα. Όλα τα λεξικά που περιλαμβάνονται στον κατάλογο έχουν επιλεγεί από επιμελητές του [Ευρωπαϊκού Δικτύου Ηλεκτρονικής Λεξικογραφίας], οι οποίοι είναι εξειδικευμένοι λεξικογράφοι οι ίδιοι, και ακολουθούν καλά ορισμένα κριτήρια για να αποφασίσουν ποια λεξικά θα περιληφθούν και ποια όχι.
$prop1	Γνωρίζετε κάποιο λεξικό το οποίο θα έπρεπε να είναι εδώ; [Πείτε μας γι' αυτό!]
$prop2	Η πρότασή σας θα ελεγχθεί από κάποιον από τους επιμελητές μας και, εφόσον εγκριθεί, το λεξικό θα περιληφθεί στην Ευρωπαϊκή Πύλη Λεξικών. Ο κάτοχος του ιστότοπου θα κληθεί να επιδείξει μία [σφραγίδα έγκρισης] στον ιστότοπο.
$error1	Σφάλμα
$error2	Δυστυχώς, φαίνεται ότι υπάρχει σφάλμα. Αν το πρόβλημα επιμένει, παρακαλώ [στείλετε μήνυμα στον διαχειριστή του ιστότοπου] προκειμένου να το αναφέρετε.
$thanks	Ευχαριστούμε
$backhome	Επιστροφή στην αρχική σελίδα
$select	επιλογή
$prop-name	ΟΝΟΜΑ ΛΕΞΙΚΟΥ
$prop-name-error	Το πεδίο δεν πρέπει να είναι κενό
$prop-url	URL ΤΟΥ ΛΕΞΙΚΟΎ
$prop-url-error	Το URL δεν πρέπει να είναι κενό και πρέπει να αρχίζει με "http://" ή "https://".
$objLang-error	Πρέπει να επιλέξετε μια γλώσσα.
$prop-email	ΔΙΕΥΘΥΝΣΗ ΗΛΕΚΤΡΟΝΙΚΟΥ ΤΑΧΥΔΡΟΜΕΙΟΥ
$prop-email-legend	Θα επικοινωνήσουμε μαζί σας αν χρειαστούμε περισσότερες πληροφορίες. Δεν θα δώσουμε την διεύθυνσή σας σε τρίτους.
$prop-email-error	Η διεύθυνση δεν πρέπει να είναι κενή και πρέπει να είναι μία έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου.
$prop-comments	ΣΧΟΛΙΑ (ΠΡΟΑΙΡΕΤΙΚΑ)
$prop-crit	Πριν υποβάλλετε προς ένταξη το λεξικό, παρακαλούμε βεβαιωθείτε ότι είναι συμβατό με τα [κριτήρια] της Ευρωπαϊκής Πύλης Λεξικών.
$submit	Υποβολή
$about-info	Σχετικά
$about-prop	Προτείνετε ένα λεξικό
$about-crit	Κριτήρια
$about-crtr	Εγχειρίδιο Χρήσης επιμελητή
$about-stmp	Σφραγίδα έγκρισης
$about-dnld	Κατεβάστε
$gen-name	Γενικά λεξικά
$lrn-name	Λεξικά εκμάθησης γλώσσας
$ety-name	Ετυμολογικά λεξικά
$spe-name	Ειδικά λεξικά
$his-name	Ιστορικά λεξικά
$por-name	Πύλες και συναθροιστές περιεχομένου
$gen-legend	[Γενικά λεξικά] είναι τα λεξικά τα οποία περιγράφουν το σύγχρονο λεξιλόγιο μιας γλώσσας και προορίζονται για καθημερινή χρήση από φυσικούς ομιλητές της γλώσσας αυτής.
$lrn-legend	Τα [λεξικά εκμάθησης γλώσσας] προορίζονται για ανθρώπους που μαθαίνουν τη γλώσσα ως δεύτερη/ξένη.
$ety-legend	Τα [Ετυμολογικά λεξικά] επεξηγούν την προέλευση των λέξεων.
$spe-legend	Τα [Ειδικά λεξικά] εστιάζουν σε ένα ειδικό υποσύνολο του λεξιλογίου (όπως, για παράδειγμα, νεολογισμοί, ιδιωματισμοί) ή σε μία συγκεκριμένη γλωσσική διάλεκτο ή παραλλαγή μίας γλώσσας.
